#{"t_start": 1774356949.3810318, "env_id": "None"}
r,l,t
-0.998987,3,2.601546
-0.996699,4,3.764558
-0.995647,5,5.129137
-0.99789,4,6.485585
-0.994694,6,8.744546
-0.986751,11,12.427432
-0.99705,3,13.407622
-0.994602,5,15.050174
-0.985538,11,18.696741
-0.998647,4,20.063505
-1.0,1,20.387225
-0.997331,4,21.782053
-1.0,1,22.164247
-0.995804,4,23.453794
-0.99715,5,24.981512
-0.995701,4,26.193698
-1.0,1,26.496668
-0.998642,2,27.156525
-0.99588,5,28.685239
-0.998393,2,29.280301
-0.994755,6,30.999934
-0.99236,7,33.154174
-0.99714,4,34.291645
-1.0,1,34.582496
-1.0,1,34.889075
-0.996989,3,35.72896
-0.991449,7,37.803478
-0.999026,3,38.645209
-0.999012,10,41.387608
-0.997808,3,42.269449
-0.996063,4,43.393073
-0.994703,6,45.09969
-0.99903,2,45.618716
-0.999015,2,46.152444
-0.998559,2,46.700706
-0.993575,6,48.401408
-0.998555,2,48.938525
-0.997033,4,49.991349
-0.99342,7,51.925201
-0.990555,8,54.114064
-0.998584,3,54.922661
-1.0,1,55.183146
-0.994767,6,56.787387
-0.997003,3,57.605724
-0.998606,2,58.161528
-1.0,1,58.492781
-0.992852,7,60.40804
-0.993914,6,62.041639
-0.989639,8,64.218215
-0.997311,5,65.57536
-0.993331,7,67.452196
-0.995077,5,68.857413
-0.993972,5,70.307014
-0.999018,2,70.850175
-0.995998,4,72.004784
-0.996696,4,73.081838
-0.997651,3,73.94611
-0.998681,3,74.798302
-0.998927,2,75.378527
-0.984718,11,78.355249
-0.996435,4,79.573663
-1.0,1,79.860271
-0.992495,16,84.168508
-0.996224,4,85.253408
-0.994137,6,86.865711
-0.99748,3,87.679334
-1.0,1,87.96348
-1.0,1,88.264094
-0.997793,5,89.654459
-0.996447,5,91.003232
-0.996368,4,92.114692
-1.0,1,92.387252
-0.996322,4,93.486288
-1.0,1,93.76175
-0.998491,2,94.322416
-0.999047,2,94.888622
-1.0,1,95.169453
-0.998398,2,95.722459
-0.998756,3,96.538564
-0.999028,2,97.080072
-0.979984,16,101.486279
-0.995389,5,102.848461
-0.997058,3,103.646905
-1.0,1,103.932528
-0.997607,3,104.793305
-0.997088,3,105.603651
-0.996074,4,106.69938
-0.999031,2,107.22329
-0.997708,4,108.351996
-1.0,1,108.652646
-0.998686,2,109.200189
-0.999014,2,109.814335
-0.991987,8,111.993769
-1.0,1,112.26671
-0.994398,5,113.645541
-0.996821,3,114.46711
-1.0,1,114.777639
-1.0,1,115.06612
-0.998998,2,115.609532
-0.997909,4,116.681332
-0.989115,9,119.135271
-0.99562,4,120.268251
-0.994088,7,122.193101
-0.998862,4,123.267573
-0.998937,2,123.805038
-0.998558,2,124.36696
-0.995987,4,125.485104
-0.994975,5,126.802131
-1.0,1,127.119766
-0.991505,7,129.08705
-0.99488,5,130.480208
-0.994999,6,132.18327
-1.0,1,132.465263
-0.998927,2,133.030154
-1.0,1,133.317681
-0.998479,3,134.227169
-0.995683,4,135.362543
-0.994889,6,136.992138
-0.988035,13,140.526368
-0.999036,3,141.346535
-1.0,1,141.624694
-0.99776,3,142.44601
-0.98296,13,145.927611
-0.99643,4,146.982045
-0.990087,8,149.129538
-0.991221,8,151.264451
-0.998582,2,151.804153
-0.996079,5,153.181725
-0.9965,4,154.274452
-1.0,1,154.569651
-0.998917,2,155.115102
-0.982392,14,158.858703
-0.995465,5,160.192321
-0.998497,2,160.739434
-0.997887,3,161.543136
-0.991782,7,163.417305
-0.99791,4,164.495822
-0.998499,2,165.037309
-0.994947,6,166.653763
-0.996475,5,167.962015
-0.998454,2,168.490177
-1.0,1,168.756869
-0.992885,7,170.632187
-0.992335,7,172.531895
-0.991552,8,174.657365
-0.983852,12,177.926907
-0.996992,3,178.728528
-0.993686,6,180.362685
-0.99694,3,181.183501
-0.998589,2,181.749739
-0.997278,4,182.83737
-0.997698,4,183.956809
-0.994175,5,185.321747
-0.998528,3,186.134975
-0.996298,4,187.20468
-0.99627,4,188.291201
-0.992887,7,190.181305
-0.99619,5,191.545326
-0.995096,6,193.157602
-0.990522,8,195.314362
-1.0,1,195.582991
-0.991006,8,197.705185
-0.99811,3,198.512138
-0.993627,6,200.146877
-0.990489,9,202.569251
-0.997519,4,203.646601
-0.998614,2,204.187803
-1.0,1,204.452759
-0.998998,2,204.995815
-0.997637,4,206.055193
-0.997926,3,206.871016
-1.0,1,207.130381
-0.993116,8,209.266533
-0.997028,4,210.350793
-0.981782,13,213.809866
-0.997562,3,214.601931
-0.998614,2,215.153785
-0.995983,4,216.21362
-0.994409,5,217.535089
-0.998404,2,218.061637
-1.0,1,218.359539
-0.996793,4,219.503882
-0.997619,3,220.299143
-0.994995,5,221.604292
-0.99154,7,223.482312
-0.995012,6,225.073004
-0.990932,8,227.251635
-0.996144,4,228.348739
-0.999025,2,228.859726
-0.995703,4,229.924338
-1.0,1,230.195805
-0.996855,3,231.002141
-0.995191,4,232.106796
-0.998483,2,232.650431
-0.994377,5,233.98999
-1.0,1,234.268716
-0.996558,4,235.370909
-0.997483,3,236.194037
-0.99721,3,237.006433
-1.0,1,237.269159
-0.999001,2,237.814017
-0.998999,3,238.63926
-0.988577,10,241.328425
-0.997075,3,242.148148
-0.985848,11,245.07017
-1.0,1,245.337392
-0.993196,6,246.942657
-0.999003,2,247.484437
-0.996142,4,248.569891
-1.0,1,248.85192
-0.994576,6,250.497335
-1.0,1,250.766427
-0.99877,4,251.866011
-0.99846,2,252.420126
-0.996823,3,253.209481
-0.998565,2,253.769036
-0.995786,5,255.101106
-0.991944,7,257.002617
-0.994175,6,258.572705
-0.992689,7,260.463247
-0.996075,5,261.811249
-1.0,1,262.075407
-0.993621,7,263.96834
-1.0,1,264.256074
-0.994231,6,265.866842
-0.996207,5,267.223045
-0.997158,3,268.037914
-1.0,1,268.30697
-0.995163,4,269.389551
-0.999005,3,270.195073
-0.9939,6,271.815992
-0.997946,3,272.602147
-1.0,1,272.880666
-0.998601,2,273.427186
-0.996348,4,274.556168
-0.999047,2,275.08761
-0.996208,5,276.437795
-0.997564,3,277.266942
-0.996115,5,278.603635
-0.997149,3,279.420914
-0.998919,2,279.952117
-0.980072,18,284.762581
-0.998388,3,285.559803
-0.992323,7,287.499663
-0.993017,6,289.099137
-0.992396,8,291.232211
-0.99651,4,292.316394
-0.998998,2,292.851022
-0.988675,9,295.310762
-0.9972,3,296.1249
-0.998592,2,296.663896
-0.990701,8,298.835795
-0.998998,2,299.383258
-0.998625,3,300.200882
-0.99815,3,301.000268
-0.997544,4,302.083474
-0.997241,3,302.919349
-0.999016,2,303.442507
-0.994828,5,304.800149
-0.989145,9,307.230722
-0.996192,5,308.536057
-0.997306,3,309.355726
-0.993365,6,311.00424
-0.996528,4,312.092854
-0.998594,2,312.63915
-0.999015,2,313.195024
-1.0,1,313.468031
-1.0,1,313.741778
-0.984569,13,317.239805
-0.996043,4,318.319351
-0.9945,7,320.225255
-0.996244,4,321.314527
-0.995455,6,322.888203
-0.999047,3,323.694693
-0.991733,7,325.604246
-0.998375,2,326.136629
-0.996327,4,327.193275
-0.998529,2,327.712396
-1.0,1,327.98826
-0.996264,4,329.092378
-0.996,4,330.166737
-0.99841,3,330.963696
-1.0,1,331.241115
-0.997221,4,332.343089
-0.998779,2,332.928475
-0.99696,3,333.728942
-0.991771,7,335.584374
-0.998998,4,336.640913
-0.99566,4,337.728012
-0.996556,4,338.817799
-0.998848,3,339.614577
-0.991689,8,341.738339
-1.0,1,342.00232
-1.0,1,342.293437
-0.993267,8,344.455252
-0.994314,5,345.786053
-0.996108,5,347.175504
-0.997333,3,347.96754
-0.998588,4,349.050157
-0.987698,10,351.758471
-0.995162,4,352.845523
-1.0,1,353.130202
-0.998918,3,353.94096
-0.988174,10,356.621144
-0.995301,5,357.965036
-0.99574,4,359.064741
-0.998398,2,359.635207
-0.993666,6,361.254908
-0.98818,12,364.484352
-0.999047,2,365.012804
-0.998153,3,365.814643
-0.997377,3,366.615597
-0.997457,3,367.41217
-0.999012,3,368.210707
-1.0,1,368.495526
-0.994281,6,370.090739
-0.999003,3,370.887896
-0.996961,5,372.25211
-1.0,1,372.67726
-0.998054,4,373.755481
-0.995958,4,374.809368
-0.996808,3,375.60477
-0.999003,2,376.149319
-0.998065,3,376.965864
-0.999008,3,377.76476
-0.99714,3,378.548641
-0.984864,12,381.743418
-0.994049,5,383.101063
-0.996628,4,384.175712
-0.999023,3,385.005523
-0.997973,3,385.807194
-0.992903,7,387.665963
-0.998615,2,388.23079
-0.998382,2,388.761819
-0.995481,6,390.387889
-0.993808,6,391.949763
-0.99488,6,393.538774
-0.99737,3,394.343122
-0.994127,5,395.693691
-0.992318,8,397.891939
-0.995335,6,399.581473
-1.0,1,399.843205
-0.998823,3,400.662275
-0.991053,7,402.547636
-0.988013,9,404.971885
-0.995569,5,406.331776
-0.998628,2,406.892952
-0.997754,3,407.695158
-0.995871,5,409.039986
-0.988507,9,411.44614
-0.994623,5,412.765092
-0.998246,3,413.568378
-1.0,1,413.850485
